Battalion,Hour of Response DtTm,Number of Alarms
B99,0,341
B99,1,259
B99,2,325
B99,3,170
B99,4,175
B99,5,195
B99,6,369
B99,7,450
B99,8,496
B99,9,656
B99,10,679
B99,11,929
B99,12,863
B99,13,1072
B99,14,1102
B99,15,1141
B99,16,1132
B99,17,1063
B99,18,948
B99,19,722
B99,20,607
B99,21,552
B99,22,467
B99,23,435
B10,0,4579
B10,1,4048
B10,2,3837
B10,3,3564
B10,4,3103
B10,5,3014
B10,6,3882
B10,7,5071
B10,8,6185
B10,9,7119
B10,10,7835
B10,11,7964
B10,12,7992
B10,13,8172
B10,14,8097
B10,15,8201
B10,16,7983
B10,17,7795
B10,18,7878
B10,19,7288
B10,20,6957
B10,21,6527
B10,22,6049
B10,23,5091
B09,0,4509
B09,1,3743
B09,2,3422
B09,3,3017
B09,4,2679
B09,5,3104
B09,6,3528
B09,7,4528
B09,8,5718
B09,9,6591
B09,10,6890
B09,11,7257
B09,12,7477
B09,13,7321
B09,14,7034
B09,15,7112
B09,16,7384
B09,17,7359
B09,18,7487
B09,19,7284
B09,20,7034
B09,21,6363
B09,22,5738
B09,23,5209
B08,0,4419
B08,1,4089
B08,2,3659
B08,3,3449
B08,4,2812
B08,5,2950
B08,6,3395
B08,7,4424
B08,8,6173
B08,9,7313
B08,10,7846
B08,11,8148
B08,12,8375
B08,13,8154
B08,14,8146
B08,15,8011
B08,16,8288
B08,17,8398
B08,18,8332
B08,19,8001
B08,20,7282
B08,21,6682
B08,22,6102
B08,23,5193
B07,0,2651
B07,1,2401
B07,2,2370
B07,3,2004
B07,4,1602
B07,5,1646
B07,6,2068
B07,7,2929
B07,8,4110
B07,9,4380
B07,10,5052
B07,11,5239
B07,12,5577
B07,13,5788
B07,14,5788
B07,15,5475
B07,16,5468
B07,17,5281
B07,18,5599
B07,19,5294
B07,20,4687
B07,21,4194
B07,22,3926
B07,23,3069
B06,0,4146
B06,1,4028
B06,2,3461
B06,3,2742
B06,4,2251
B06,5,2079
B06,6,2768
B06,7,3628
B06,8,4968
B06,9,5566
B06,10,6242
B06,11,6722
B06,12,6917
B06,13,7014
B06,14,7168
B06,15,6810
B06,16,6847
B06,17,7481
B06,18,7605
B06,19,7250
B06,20,6661
B06,21,6322
B06,22,5750
B06,23,5091
B05,0,4958
B05,1,4378
B05,2,3822
B05,3,3022
B05,4,2615
B05,5,2462
B05,6,2848
B05,7,3856
B05,8,4962
B05,9,5785
B05,10,6369
B05,11,6747
B05,12,7120
B05,13,7534
B05,14,7192
B05,15,7398
B05,16,7559
B05,17,7366
B05,18,7280
B05,19,7207
B05,20,7226
B05,21,6280
B05,22,5981
B05,23,5293
B04,0,6449
B04,1,5848
B04,2,5470
B04,3,4424
B04,4,3759
B04,5,3581
B04,6,4391
B04,7,5718
B04,8,7109
B04,9,8420
B04,10,8982
B04,11,9431
B04,12,9405
B04,13,9951
B04,14,9626
B04,15,9387
B04,16,9410
B04,17,9409
B04,18,10013
B04,19,9950
B04,20,9304
B04,21,8416
B04,22,8006
B04,23,6712
B03,0,11144
B03,1,10047
B03,2,9204
B03,3,7694
B03,4,6799
B03,5,6707
B03,6,8077
B03,7,10179
B03,8,12598
B03,9,14809
B03,10,15282
B03,11,15968
B03,12,16992
B03,13,17383
B03,14,17110
B03,15,17081
B03,16,17511
B03,17,16982
B03,18,16657
B03,19,16379
B03,20,15793
B03,21,14918
B03,22,13496
B03,23,12462
B02,0,11585
B02,1,10454
B02,2,10011
B02,3,8212
B02,4,6970
B02,5,7016
B02,6,7905
B02,7,10355
B02,8,12669
B02,9,15483
B02,10,16557
B02,11,18061
B02,12,18185
B02,13,19034
B02,14,18751
B02,15,18402
B02,16,18276
B02,17,17853
B02,18,17295
B02,19,16952
B02,20,16395
B02,21,15139
B02,22,13830
B02,23,12385
B01,0,6682
B01,1,6144
B01,2,5942
B01,3,4549
B01,4,3683
B01,5,3702
B01,6,4453
B01,7,5645
B01,8,7713
B01,9,8777
B01,10,9902
B01,11,9987
B01,12,10973
B01,13,10955
B01,14,11651
B01,15,10879
B01,16,10719
B01,17,11067
B01,18,10811
B01,19,10931
B01,20,10144
B01,21,9192
B01,22,8601
B01,23,7356
