Neighborhooods - Analysis Boundaries,Unit Type (group),Number of Alarms
Lincoln Park,OTHER,143
McLaren Park,OTHER,84
Seacliff,OTHER,94
Presidio,OTHER,919
Glen Park,OTHER,52
Twin Peaks,OTHER,56
Golden Gate Park,OTHER,217
Treasure Island,OTHER,820
Presidio Heights,OTHER,56
Japantown,OTHER,34
Portola,OTHER,91
Noe Valley,OTHER,87
Visitacion Valley,OTHER,167
Lone Mountain/USF,OTHER,114
Oceanview/Merced/Ingleside,OTHER,142
Inner Richmond,OTHER,114
Mission Bay,OTHER,384
Outer Mission,OTHER,149
Lakeshore,OTHER,482
Inner Sunset,OTHER,137
Haight Ashbury,OTHER,161
Russian Hill,OTHER,430
Bernal Heights,OTHER,241
Potrero Hill,OTHER,318
Marina,OTHER,473
Excelsior,OTHER,185
Chinatown,OTHER,187
Pacific Heights,OTHER,105
West of Twin Peaks,OTHER,215
North Beach,OTHER,963
Hayes Valley,OTHER,292
Castro/Upper Market,OTHER,262
Outer Richmond,OTHER,804
Nob Hill,OTHER,713
Western Addition,OTHER,637
Sunset/Parkside,OTHER,420
Bayview Hunters Point,OTHER,1250
Financial District/South Beach,OTHER,2934
Mission,OTHER,1184
South of Market,OTHER,5761
Tenderloin,OTHER,9517
Lincoln Park,RESCUE ,175
McLaren Park,RESCUE ,148
Seacliff,RESCUE ,291
Presidio,RESCUE ,883
Glen Park,RESCUE ,659
Twin Peaks,RESCUE ,671
Golden Gate Park,RESCUE ,1097
Treasure Island,RESCUE ,978
Presidio Heights,RESCUE ,1018
Japantown,RESCUE ,748
Portola,RESCUE ,1327
Noe Valley,RESCUE ,1791
Visitacion Valley,RESCUE ,1831
Lone Mountain/USF,RESCUE ,1565
Oceanview/Merced/Ingleside,RESCUE ,1850
Inner Richmond,RESCUE ,3486
Mission Bay,RESCUE ,1360
Outer Mission,RESCUE ,2043
Lakeshore,RESCUE ,1788
Inner Sunset,RESCUE ,1855
Haight Ashbury,RESCUE ,1505
Russian Hill,RESCUE ,1970
Bernal Heights,RESCUE ,2885
Potrero Hill,RESCUE ,2681
Marina,RESCUE ,2298
Excelsior,RESCUE ,3321
Chinatown,RESCUE ,2378
Pacific Heights,RESCUE ,2074
West of Twin Peaks,RESCUE ,2634
North Beach,RESCUE ,2691
Hayes Valley,RESCUE ,2642
Castro/Upper Market,RESCUE ,2816
Outer Richmond,RESCUE ,4836
Nob Hill,RESCUE ,3822
Western Addition,RESCUE ,3430
Sunset/Parkside,RESCUE ,4797
Bayview Hunters Point,RESCUE ,7035
Financial District/South Beach,RESCUE ,10119
Mission,RESCUE ,16050
South of Market,RESCUE ,19754
Tenderloin,RESCUE ,18786
Lincoln Park,CHIEF,359
McLaren Park,CHIEF,499
Seacliff,CHIEF,642
Presidio,CHIEF,1832
Glen Park,CHIEF,1359
Twin Peaks,CHIEF,1633
Golden Gate Park,CHIEF,861
Treasure Island,CHIEF,1186
Presidio Heights,CHIEF,2871
Japantown,CHIEF,1707
Portola,CHIEF,1545
Noe Valley,CHIEF,3442
